Sondage,ID Réponse,Participant,Date de soumission,Question,Type,Réponse
autre sondage,7,omerta1,2025-05-27 16:16,Êtes-vous satisfait de nos services ?,Choix unique,oui
autre sondage,4,Anonyme,2025-05-26 09:45,Êtes-vous satisfait de nos services ?,Choix unique,oui
autre sondage,3,omerta1,2025-05-26 09:40,Êtes-vous satisfait de nos services ?,Choix unique,oui
etes vous satisfait de notre services?,6,omerta1,2025-05-27 12:04,Êtes-vous satisfait de nos services ?,Choix unique,dfdsf
etes vous satisfait de notre services?,6,omerta1,2025-05-27 12:04,cv,Choix multiple,Pas de réponse
etes vous satisfait de notre services?,6,omerta1,2025-05-27 12:04,votre meilleure son?,Choix multiple,Pas de réponse
etes vous satisfait de notre services?,6,omerta1,2025-05-27 12:04,to meilleur son de moment,Échelle,3
etes vous satisfait de notre services?,5,Anonyme,2025-05-26 09:45,Êtes-vous satisfait de nos services ?,Choix unique,dfdsf
etes vous satisfait de notre services?,5,Anonyme,2025-05-26 09:45,cv,Choix multiple,Pas de réponse
etes vous satisfait de notre services?,5,Anonyme,2025-05-26 09:45,votre meilleure son?,Choix multiple,Pas de réponse
etes vous satisfait de notre services?,5,Anonyme,2025-05-26 09:45,to meilleur son de moment,Échelle,5
etes vous satisfait de notre services?,2,omerta1,2025-05-24 12:46,Êtes-vous satisfait de nos services ?,Choix unique,non
etes vous satisfait de notre services?,2,omerta1,2025-05-24 12:46,cv,Choix multiple,Pas de réponse
etes vous satisfait de notre services?,2,omerta1,2025-05-24 12:46,votre meilleure son?,Choix multiple,Pas de réponse
etes vous satisfait de notre services?,2,omerta1,2025-05-24 12:46,to meilleur son de moment,Échelle,3
